Datetime_entry,Mua/Ban,entry_price,ema10,ema20,ema50,rsi,macd_value,macd_signal,macd_hist,volume,adx,c_DI,t_DI,Lot,Profit,win
2024-12-11 16:24:03,Ban,2691.671,2690.9895299471073,2690.612525875442,2690.985137502538,56.69433302906294,0.24494612964554108,-0.08177929318666273,0.3267254228322038,3.0,26.08121757402318,26.762168789015757,25.62132385365876,2691.671,0.01,-0.52
2024-12-11 16:24:18,Mua,2692.688,2691.115893583471,2690.6787163516324,2691.0123924044988,60.00204611392938,0.3003877250871483,-0.0706909740983413,0.3710786991854896,16.0,26.622834064995125,29.82781697160839,24.522912920364483,2692.366,0.01,-0.53
2024-12-11 16:25:55,Ban,2691.093,2690.906888136825,2690.5994787608256,2690.947360602844,53.024040248451975,0.20368789114581887,-0.03287611269128183,0.2365640038371007,55.0,24.95957546075957,26.715962374845414,25.050628306396376,2691.093,0.01,-0.56
2024-12-11 16:26:07,Ban,2690.935,2690.9334208741225,2690.643884414454,2690.969820197221,51.85794725510822,0.20715383755486982,0.01641524938581726,0.19073858816905256,7.0,23.3853263954448,26.210678471832953,24.576706136777347,2690.935,0.01,0.0
2024-12-11 16:26:31,Mua,2690.986,2690.88414814685,2690.6180748906445,2690.95919274624,50.23173078778449,0.1855356039372964,0.012091602662302574,0.17344400127499382,28.0,23.3853263954448,25.519961306322287,23.929048243502052,2690.664,0.01,-0.57
2024-12-11 16:27:18,Ban,2690.433,2690.7957245170965,2690.5967493931257,2690.9393356595615,48.84383407340318,0.1394322186520185,0.03693525559818375,0.10249696305383474,15.0,21.889243840654384,24.822368449631476,23.96582498389968,2690.433,0.01,-0.51
2024-12-11 16:27:29,Mua,2691.233,2690.8826336080056,2690.6422732026494,2690.958080757601,51.71871451481997,0.177563272783118,0.04456146642440366,0.13300180635871434,26.0,21.889243840654384,24.678158227416112,23.826591012189215,2690.911,0.01,-0.58
2024-12-11 16:29:16,Mua,2692.116,2691.214434668197,2690.8714746349287,2691.02000003132,56.56136965873164,0.3021652173915754,0.13410425089220884,0.16806096649936658,15.0,20.47043466882042,27.20966747576782,21.21060981036149,2691.794,0.01,-0.53
2024-12-11 16:30:41,Mua,2692.024,2691.3195953085005,2690.9601710867537,2691.0648215216775,55.65350225642249,0.33259141610551524,0.1747801853691216,0.15781123073639364,39.0,19.932417354362176,26.26437798172455,20.45625736248409,2691.702,0.01,-0.5
2024-12-11 16:30:57,Mua,2691.973,2691.310322581228,2690.9553139438963,2691.0628215216775,55.28915512583074,0.32852304003654353,0.17396651015532727,0.15455652988121626,59.0,19.750743007058645,25.983397956541836,21.30722755583756,2691.651,0.01,0.5
